Environment 3,Natural Forest (outdoor),50m diameter clearing,"Features: trees, undergrowth, terrain",Materials: wood/leaves/dirt/moss,,,,,,,,,,,

LIGHTING PRESETS (test all 5 for each environment),,,,,,,,,,,,,,,
Preset 1,Golden Hour,Warm sunlight (3500K),Azimuth 270° Elev 10-15°,Long shadows,,,,,,,,,,,
Preset 2,Overcast,Diffused daylight (6500K),No direct sun,Minimal shadows,,,,,,,,,,,
Preset 3,Neon Night,Artificial colored lighting,Cyan/magenta neons,High contrast,,,,,,,,,,,
Preset 4,Studio,3-point lighting setup,Key/Fill/Rim lights,Professional control,,,,,,,,,,,
Preset 5,Dramatic Low-Key,Film noir style (4000K),Hard directional light,Deep shadows,,,,,,,,,,,

CAMERA POSITIONS TO MARK (for each environment),,,,,,,,,,,,,,,
Position A,Wide shot / Establishing,Full environment visible,,,,,,,,,,,,,
Position B,Medium shot / Character interaction,Partial environment,,,,,,,,,,,,,
Position C,Close-up / Dramatic reveal,Focused detail,,,,,,,,,,,,,

PERFORMANCE BENCHMARKS,,,,,,,,,,,,,,,
Hardware Tier 1,"Desktop RTX 3060, 16GB RAM",Target: >60fps,Achieved by: World Labs (est), Procedural (confirmed), Matterport (confirmed),,,,,,,,,,,,
Hardware Tier 2,"Laptop M1 Max / RTX 3070 Mobile",Target: >45fps,Achieved by: All technologies except Unreal WASM,,,,,,,,,,,,
Hardware Tier 3,"Laptop Integrated GPU, 8GB RAM",Target: >30fps or quality degradation,Achieved by: Procedural (confirmed), others need testing,,,,,,,,,,,,

USER TESTING (5+ filmmakers),,,,,,,,,,,,,,,
Navigation Usability,"Rate WASD+mouse controls (1-10)",Target: >8/10,Pending PoC demos,,,,,,,,,,,,
Camera Marking Workflow,"Rate ease of marking positions (1-10)",Target: >8/10,Pending PoC demos,,,,,,,,,,,,
Lighting Preset Quality,"Rate lighting changes (1-10)",Target: >8/10,Pending PoC demos,,,,,,,,,,,,
Overall Experience,"Would you use for filmmaking? (Yes/No)",Target: >80% Yes,Pending PoC demos,,,,,,,,,,,,

COST PROJECTIONS,,,,,,,,,,,,,,,
Monthly Cost (1k generations),World Labs: $0-10 (Gemini only),Procedural: $0-10,Unreal Pixel: $45,Luma AI: $500,Matterport: $160,Unreal WASM: $50 (CDN),,,,,,,,,
Monthly Cost (10k generations),World Labs: $5-100,Procedural: $5-100,Unreal Pixel: $450,Luma AI: $5000,Matterport: $1600,Unreal WASM: $200 (CDN),,,,,,,,,
Monthly Cost (100k generations),World Labs: $50-1000,Procedural: $50-1000,Unreal Pixel: $4500,Luma AI: $50000,Matterport: $16000,Unreal WASM: $1000 (CDN),,,,,,,,,

DEVELOPMENT EFFORT ESTIMATES,,,,,,,,,,,,,,,
World Labs Service,15-20 story points (2-3 weeks),Camera marking UI: 3pts,Lighting presets: 4pts,Real Gaussian Splatting: 8pts,Total: 15pts,,,,,,,,,,
Procedural Service,12-15 story points (2 weeks),Camera marking UI: 3pts,Lighting presets: 3pts,Visual quality improvements: 6pts,Total: 12pts,,,,,,,,,,
Unreal Pixel Streaming,40-50 story points (6-8 weeks),UE5 setup: 8pts,Infrastructure: 20pts,Client integration: 8pts,DevOps: 4pts,Total: 40pts,,,,,,,,,
Matterport-Style,6-8 story points (1 week),360° generation: 3pts,Hotspot UI: 2pts,Export system: 2pts,Total: 7pts,,,,,,,,,,
Luma AI,8-10 story points (1-2 weeks),API integration: 4pts,Camera overlay: 4pts,Total: 8pts,,,,,,,,,,,
Unreal WebAssembly,30-40 story points (5-6 weeks),UE5 WASM export: 15pts,Bundle optimization: 10pts,Browser integration: 8pts,Total: 33pts (High risk),,,,,,,,,

TECHNICAL NOTES,,,,,,,,,,,,,,,
World Labs Service,Uses Gemini 2.0 Flash for world structure generation,Gaussian Splatting via WebGL2/WebGPU shaders,Requires enhancement: Real splat rendering not placeholder points,Current FPS: Untested (needs benchmarking),,,,,,,,,,
Procedural Service,Fully functional WASD navigation (lines 557-602 in code),Uses Gemini for intelligent structure planning,Simple Three.js meshes (MeshStandardMaterial),Performance: 60fps confirmed on mid-range hardware,,,,,,,,,,
Unreal Pixel Streaming,Industry standard for AAA games and film previz,Latency: 100-300ms typical (network dependent),Requires AWS g4dn instances ($0.526/hour),Auto-scaling needed for production,,,,,,,,,,
Luma AI,API integration exists (services/3dWorldService.ts),Max wait time: 2 minutes per generation,High quality Gaussian Splatting output,Cost prohibitive for scale,,,,,,,,,,
Matterport-Style,Best used as fallback if true 3D fails,360° panoramas via Imagen 3,Limited to hotspot navigation (not continuous),Good compromise for mobile devices,,,,,,,,,,
Unreal WebAssembly,Experimental as of 2025,Bundle size: 500MB-2GB (too large),Load time: 2-5 minutes (poor UX),Not recommended for production,,,,,,,,,,

FINAL RECOMMENDATION,,,,,,,,,,,,,,,
Top Choice,World Labs Service (Enhanced),Rationale: Best balance of quality/performance/cost. Zero operational costs. Fast generation (5-15s).,,,,,,,,,,,,
Fallback Choice,Procedural Service (Enhanced),Rationale: Guaranteed 60fps. Simplest architecture. Fastest generation (5-10s). Lower quality acceptable for draft mode.,,,,,,,,,,,,
Premium Tier Option,Unreal Pixel Streaming,Rationale: Best visual quality for client-facing demos or premium users. Infrastructure cost justified for high-value use cases.,,,,,,,,,,,,
Not Recommended,Luma AI,Rationale: Prohibitively expensive at scale ($500-50k/mo). Use Procedural or World Labs instead.,,,,,,,,,,,,
Not Recommended,Unreal WebAssembly,Rationale: Experimental technology. Poor performance. Large bundle size. Not production-ready.,,,,,,,,,,,,
