2. Fal.ai Flux LoRA Fast Training,"Score: 83/100 | 8min training | 12s inference | 300 LOC | $0.06/gen | 92-98% CLIP",,,,,,,,,,,,,,
3. Astria Fine-Tuning API,"Score: 79/100 | 15min training | 15s inference | 300 LOC | $0.03/gen | 88-94% CLIP",,,,,,,,,,,,,,

COST PROJECTIONS,,,,,,,,,,,,,,,
Monthly Cost (1k generations),Instant: $100 | Flux LoRA: $80 ($20 train + $60 inf) | Astria: $40 ($15 train + $25 inf),,,,,,,,,,,,,,
Monthly Cost (10k generations),Instant: $1000 | Flux LoRA: $700 ($100 train + $600 inf) | Astria: $325 ($75 train + $250 inf),,,,,,,,,,,,,,
Monthly Cost (100k generations),Instant: $10000 | Flux LoRA: $6400 ($400 train + $6000 inf) | Astria: $2800 ($300 train + $2500 inf),,,,,,,,,,,,,,
Cost Winner at Scale,Astria (2.3x cheaper than Fal.ai LoRA at 100k scale) | But must validate >95% CLIP consistency in PoC,,,,,,,,,,,,,,

TEST SCENARIOS (for each technology),,,,,,,,,,,,,,,
Scenario 1,Close-up portrait (well-lit),Expected CLIP >0.90,Soft studio lighting | Neutral expression | Professional photography,,,,,,,,,,,,
Scenario 2,Wide shot full-body (outdoor),Expected CLIP >0.85,Natural daylight | Golden hour | Urban environment | Full-body visible,,,,,,,,,,,,
Scenario 3,Profile view (side angle),Expected CLIP >0.85,Dramatic side lighting | Serious expression | Film noir style | 90° profile,,,,,,,,,,,,
Scenario 4,Low-light scene (dramatic),Expected CLIP >0.80,Dark warehouse | Low-key lighting | Shadowy atmosphere | Tense mood,,,,,,,,,,,,
Scenario 5,Action pose (dynamic movement),Expected CLIP >0.80,Running through corridor | Motion blur | Dynamic pose | Blurred background,,,,,,,,,,,,

HUMAN EVALUATION (10+ evaluators),,,,,,,,,,,,,,,
Target,">90% 'same character' responses for each scenario | Blind evaluation | Mix of filmmakers, designers, general users",,,,,,,,,,,,,,
Scoring,"Yes = 1 point | Unsure = 0.5 points | No = 0 points | Average across all evaluators and scenarios",,,,,,,,,,,,,,

INTEGRATION ARCHITECTURE,,,,,,,,,,,,,,,
Service Module Pattern,"Create `/services/characterIdentityService.ts` with `createCharacterIdentity()` and `generateWithCharacterIdentity()` functions",,,,,,,,,,,,,,
Serverless Proxy Pattern,"Create `/api/fal-instant-character-proxy.ts`, `/api/fal-lora-proxy.ts`, `/api/astria-proxy.ts` following Luma/Brave proxy pattern",,,,,,,,,,,,,,
Type Extensions,"Extend `AnalyzedCharacter` with optional `characterIdentity?: CharacterIdentityResult` field for backward compatibility",,,,,,,,,,,,,,
Storage Strategy,"Use Supabase Storage for LoRA models (50-100MB each) | Fall back to localStorage if Supabase unavailable",,,,,,,,,,,,,,

NEXT PHASE: WEEK 2 POC DEVELOPMENT,,,,,,,,,,,,,,,
Days 1-2,"Environment setup | Generate test character dataset | Implement 3 service modules | Create serverless proxies | Set up CLIP measurement",,,,,,,,,,,,,,
Days 3-4,"Generate 15 test images (5 scenarios × 3 technologies) | Measure CLIP similarity | Measure FaceNet distance | Record latency and cost",,,,,,,,,,,,,,
Day 5,"Compile performance data | Human evaluation | Write PoC test report | Create comparison gallery | Select recommended technology",,,,,,,,,,,,,,
Expected Completion,2025-11-17,,,,,,,,,,,,,,

RISK MITIGATION,,,,,,,,,,,,,,,
Risk: Consistency below 95%,"PoC testing validates actual CLIP scores | Fallback to LoRA if reference-based insufficient | Accept 90% as 'good enough' threshold",,,,,,,,,,,,,,
Risk: Training time UX,"Implement async training with progress callbacks | Background processing | Queue multiple characters | Webhook pattern",,,,,,,,,,,,,,
Risk: API cost escalation,"Usage quotas | Tier-based limits | Cache character models | Batch processing | Cost monitoring dashboard",,,,,,,,,,,,,,
Risk: Vercel timeout,"Webhook callbacks for long-running training | Polling with timeout extension | Training offloaded to external API",,,,,,,,,,,,,,
Risk: Model storage quota,"Store in Supabase Storage | Model versioning and pruning | Lazy loading | Compression where possible",,,,,,,,,,,,,,
